mel_path,wav_path,true_label,pred_label,confidence
./mels_binary_data\taki\0168.npy,./mels_binary_data\taki\0168.npy,taki,doum,0.6551353335380554
./mels_binary_data\taki\0121.npy,./mels_binary_data\taki\0121.npy,taki,doum,0.5760505795478821
./mels_binary_data\taki\0079.npy,./mels_binary_data\taki\0079.npy,taki,doum,0.6893177032470703
./mels_binary_data\doum\0007.npy,./mels_binary_data\doum\0007.npy,doum,taki,0.5383474230766296
./mels_binary_data\taki\0112.npy,./mels_binary_data\taki\0112.npy,taki,doum,0.5917582511901855
./mels_binary_data\taki\0086.npy,./mels_binary_data\taki\0086.npy,taki,doum,0.5216755270957947
./mels_binary_data\taki\0063.npy,./mels_binary_data\taki\0063.npy,taki,doum,0.731535792350769
./mels_binary_data\doum\0173.npy,./mels_binary_data\doum\0173.npy,doum,taki,0.6120747923851013
./mels_binary_data\taki\0184.npy,./mels_binary_data\taki\0184.npy,taki,doum,0.5221064686775208
./mels_binary_data\taki\0166.npy,./mels_binary_data\taki\0166.npy,taki,doum,0.5670376420021057
./mels_binary_data\taki\0102.npy,./mels_binary_data\taki\0102.npy,taki,doum,0.5152394771575928
./mels_binary_data\taki\0067.npy,./mels_binary_data\taki\0067.npy,taki,doum,0.6303592324256897
./mels_binary_data\doum\0177.npy,./mels_binary_data\doum\0177.npy,doum,taki,0.6231223940849304
./mels_binary_data\taki\0115.npy,./mels_binary_data\taki\0115.npy,taki,doum,0.6154916882514954
./mels_binary_data\taki\0016.npy,./mels_binary_data\taki\0016.npy,taki,doum,0.537122905254364
./mels_binary_data\taki\0017.npy,./mels_binary_data\taki\0017.npy,taki,doum,0.6482998132705688
./mels_binary_data\doum\0022.npy,./mels_binary_data\doum\0022.npy,doum,taki,0.5203385949134827
