wav_path,true_label,pred_label,confidence
../../data/interference_data\doum\doum_036.wav,doum,tak,0.5238687992095947
../../data/interference_data\tak\tak_113.wav,tak,doum,0.5419332981109619
../../data/interference_data\tak\tak_096.wav,tak,doum,0.5311338305473328
../../data/interference_data\tak\tak_087.wav,tak,doum,0.7038671374320984
../../data/interference_data\doum\doum_060.wav,doum,tak,0.5297093391418457
../../data/interference_data\tak\tak_136.wav,tak,doum,0.5415759682655334
../../data/interference_data\tak\tak_064.wav,tak,doum,0.525305449962616
../../data/interference_data\tak\tak_156.wav,tak,doum,0.6497909426689148
../../data/interference_data\doum\doum_174.wav,doum,tak,0.5429060459136963
../../data/interference_data\tak\tak_141.wav,tak,doum,0.6551042795181274
../../data/interference_data\doum\doum_056.wav,doum,tak,0.5682196021080017
../../data/interference_data\tak\tak_137.wav,tak,doum,0.5827533006668091
../../data/interference_data\tak\tak_109.wav,tak,doum,0.5421090722084045
../../data/interference_data\tak\tak_185.wav,tak,doum,0.6939277052879333
../../data/interference_data\doum\doum_130.wav,doum,tak,0.560390055179596
../../data/interference_data\tak\tak_103.wav,tak,doum,0.5030749440193176
../../data/interference_data\doum\doum_024.wav,doum,tak,0.544542133808136
../../data/interference_data\tak\tak_052.wav,tak,doum,0.5346795320510864
../../data/interference_data\doum\doum_058.wav,doum,tak,0.5170649886131287
../../data/interference_data\doum\doum_108.wav,doum,tak,0.6621702313423157
../../data/interference_data\tak\tak_017.wav,tak,doum,0.5819028615951538
../../data/interference_data\tak\tak_043.wav,tak,doum,0.5691421627998352
