pair_path,wav_path,true_label,pred_label,confidence
../data/pairs\odd_pair_024.wav,../data/pairs\odd_pair_024.wav,doum,tak,0.6036801934242249
../data/pairs\odd_pair_026.wav,../data/pairs\odd_pair_026.wav,doum,tak,0.5003127455711365
../data/pairs\even_pair_052.wav,../data/pairs\even_pair_052.wav,tak,doum,0.5749410390853882
../data/pairs\odd_pair_059.wav,../data/pairs\odd_pair_059.wav,doum,tak,0.6199520230293274
../data/pairs\even_pair_067.wav,../data/pairs\even_pair_067.wav,tak,doum,0.6852397918701172
../data/pairs\odd_pair_067.wav,../data/pairs\odd_pair_067.wav,doum,tak,0.517244279384613
../data/pairs\even_pair_041.wav,../data/pairs\even_pair_041.wav,tak,doum,0.5289278030395508
../data/pairs\odd_pair_035.wav,../data/pairs\odd_pair_035.wav,doum,tak,0.5739378929138184
../data/pairs\odd_pair_008.wav,../data/pairs\odd_pair_008.wav,doum,tak,0.722072184085846
../data/pairs\even_pair_038.wav,../data/pairs\even_pair_038.wav,tak,doum,0.6162309050559998
../data/pairs\odd_pair_007.wav,../data/pairs\odd_pair_007.wav,doum,tak,0.5573452711105347
../data/pairs\even_pair_063.wav,../data/pairs\even_pair_063.wav,tak,doum,0.5765365362167358
../data/pairs\even_pair_067.wav,../data/pairs\even_pair_067.wav,tak,doum,0.6852397918701172
../data/pairs\even_pair_045.wav,../data/pairs\even_pair_045.wav,tak,doum,0.5349684357643127
../data/pairs\odd_pair_062.wav,../data/pairs\odd_pair_062.wav,doum,tak,0.5224822163581848
../data/pairs\even_pair_010.wav,../data/pairs\even_pair_010.wav,tak,doum,0.7082178592681885
../data/pairs\even_pair_053.wav,../data/pairs\even_pair_053.wav,tak,doum,0.8626851439476013
../data/pairs\even_pair_009.wav,../data/pairs\even_pair_009.wav,tak,doum,0.7316030859947205
../data/pairs\even_pair_010.wav,../data/pairs\even_pair_010.wav,tak,doum,0.7082178592681885
../data/pairs\even_pair_039.wav,../data/pairs\even_pair_039.wav,tak,doum,0.5933301448822021
../data/pairs\even_pair_060.wav,../data/pairs\even_pair_060.wav,tak,doum,0.8689191341400146
../data/pairs\even_pair_019.wav,../data/pairs\even_pair_019.wav,tak,doum,0.522546648979187
../data/pairs\even_pair_041.wav,../data/pairs\even_pair_041.wav,tak,doum,0.5289278030395508
